,iteration,filename,logit_1,logits_2,logits_3,logits_4,logits_5,rating
1721,real,real_im_583.png,1.6694063,-0.3126976,0.048002042,-0.44458103,-0.25805596,1
1722,real,real_im_597.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1723,real,real_im_540.png,1.5965455,-0.37229908,0.12699178,-0.42572486,-0.26473698,1
1724,real,real_im_226.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1725,real,real_im_232.png,1.5813167,-0.41150284,0.21926467,-0.3809893,-0.23468708,1
1726,real,real_im_554.png,1.5692902,-0.37997004,0.3080199,-0.33271414,-0.15543474,1
1727,real,real_im_568.png,1.6654264,-0.27526066,0.06925442,-0.4383986,-0.22196367,1
1728,real,real_im_391.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1729,real,real_im_385.png,1.5842388,-0.42666286,-0.14038067,-0.57248497,-0.41621315,1
1730,real,real_im_2.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1731,real,real_im_434.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1732,real,real_im_17.png,1.6579509,-0.24992755,0.17127962,-0.3640848,-0.15575413,1
1733,real,real_im_352.png,1.4622171,-0.47829622,-0.06716492,-0.5462093,-0.37777036,1
1734,real,real_im_346.png,1.5702544,-0.47733763,0.27246103,-0.37029716,-0.21669784,1
1735,real,real_im_420.png,1.5507181,-0.5203181,0.22791007,-0.40250537,-0.2785333,1
1736,real,real_im_408.png,1.6848367,-0.33061638,-0.069546945,-0.50943106,-0.30899388,1
1737,real,real_im_193.png,1.6312366,-0.3198392,0.16086258,-0.39021242,-0.2083501,1
1738,real,real_im_187.png,1.7037324,-0.30913943,0.01728297,-0.45724905,-0.2611106,1
1739,real,real_im_150.png,1.636429,-0.41086984,-0.041150093,-0.51608145,-0.31505978,1
1740,real,real_im_636.png,1.5477955,-0.5053701,0.31008285,-0.4136885,-0.23861857,1
1741,real,real_im_622.png,1.6402665,-0.38098806,0.031661265,-0.4682983,-0.3039288,1
1742,real,real_im_144.png,1.5743191,-0.3834773,0.28896865,-0.3483335,-0.17448874,1
1743,real,real_im_178.png,1.6793323,-0.24363376,0.12839659,-0.37962437,-0.18097502,1
1744,real,real_im_140.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1745,real,real_im_626.png,1.6403027,-0.3265244,0.15830287,-0.37714428,-0.20230478,1
1746,real,real_im_632.png,1.6390877,-0.38835022,0.06577278,-0.45020953,-0.28242683,1
1747,real,real_im_154.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1748,real,real_im_168.png,1.550628,-0.5760927,0.23133469,-0.5147807,-0.3039304,1
1749,real,real_im_183.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1750,real,real_im_197.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1751,real,real_im_424.png,1.6228192,-0.34780762,0.10410004,-0.42555127,-0.25831437,1
1752,real,real_im_342.png,1.656391,-0.39435348,-0.052352317,-0.5165345,-0.32355624,1
1753,real,real_im_356.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1754,real,real_im_13.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1755,real,real_im_430.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1756,real,real_im_418.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1757,real,real_im_381.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1758,real,real_im_395.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1759,real,real_im_6.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1760,real,real_im_550.png,1.544717,-0.516275,0.30334905,-0.42063951,-0.24191852,1
1761,real,real_im_236.png,1.6205426,-0.30826065,0.15020382,-0.39154673,-0.21756335,1
1762,real,real_im_222.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1763,real,real_im_544.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1764,real,real_im_578.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1765,real,real_im_593.png,1.5903378,-0.40015927,0.2277936,-0.37580353,-0.21906197,1
1766,real,real_im_587.png,1.6863106,-0.17362514,0.23544255,-0.3082904,-0.07589399,1
1767,real,real_im_586.png,1.5425787,-0.52098465,0.29851267,-0.4269422,-0.24823697,1
1768,real,real_im_592.png,1.5426149,-0.44253677,0.29264507,-0.35058722,-0.19321708,1
1769,real,real_im_579.png,1.6106728,-0.6920367,0.09524649,-0.7040883,-0.39328265,1
1770,real,real_im_223.png,1.5340258,-0.4957749,0.3273268,-0.4101391,-0.225324,1
1771,real,real_im_545.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1772,real,real_im_551.png,1.6157609,-0.35309565,0.12766339,-0.4158136,-0.2466553,1
1773,real,real_im_237.png,1.64536,-0.33210197,0.0046468293,-0.4635686,-0.29125774,1
1774,real,real_im_7.png,1.44389,-0.4756912,0.43561557,-0.43458542,-0.08461826,1
1775,real,real_im_394.png,1.6642159,-0.22207853,0.26021188,-0.3331274,-0.073840566,1
1776,real,real_im_380.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1777,real,real_im_419.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1778,real,real_im_12.png,1.6938754,-0.20194092,0.027739756,-0.45299545,-0.21553865,1
1779,real,real_im_357.png,1.6067715,-0.37673244,0.13031733,-0.4172705,-0.25206447,1
1780,real,real_im_431.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1781,real,real_im_425.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1782,real,real_im_343.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1783,real,real_im_196.png,1.5540353,-0.46088177,0.34552678,-0.3615718,-0.18186752,1
1784,real,real_im_182.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1785,real,real_im_169.png,1.68615,-0.2917246,0.049365915,-0.42705604,-0.23452213,1
1786,real,real_im_633.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1787,real,real_im_155.png,1.7024963,-0.30774796,0.014374292,-0.45415854,-0.25563174,1
1788,real,real_im_141.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1789,real,real_im_627.png,1.6847351,-0.793513,0.0022560721,-0.8603271,-0.46459264,1
1790,real,real_im_157.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1791,real,real_im_631.png,1.5813167,-0.41150284,0.21926467,-0.3809893,-0.23468708,1
1792,real,real_im_625.png,1.69234,-0.29821712,0.0067928797,-0.451203,-0.2686569,1
1793,real,real_im_143.png,1.6920007,-0.2970483,0.017580755,-0.44578072,-0.25858715,1
1794,real,real_im_619.png,1.6313375,-0.35847107,-0.2901162,-0.6280947,-0.5247416,1
1795,real,real_im_194.png,1.5599492,-0.4004729,0.28643394,-0.34451988,-0.17886414,1
1796,real,real_im_180.png,1.5926614,-0.3986012,0.24019864,-0.35685438,-0.2025388,1
1797,real,real_im_433.png,1.6766837,-0.33381647,-0.0007730657,-0.46445575,-0.2733536,1
1798,real,real_im_355.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1799,real,real_im_10.png,1.7298855,-0.181592,-0.009554693,-0.47287956,-0.23882,1
1800,real,real_im_341.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1801,real,real_im_427.png,1.6728053,-0.13446161,0.32352388,-0.2512921,-0.008259531,1
1802,real,real_im_369.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1803,real,real_im_38.png,1.692283,-0.24320859,-0.008781307,-0.4567873,-0.24678256,1
1804,real,real_im_396.png,1.6544508,-0.34525883,-0.36010215,-0.63235253,-0.5704349,1
1805,real,real_im_382.png,1.72615,-0.21540013,0.12698476,-0.39082792,-0.14042231,1
1806,real,real_im_5.png,1.6269598,-0.06996686,0.1787102,-0.33298185,-0.13098289,1
1807,real,real_im_547.png,1.6572486,-0.31817532,0.0032998389,-0.4735891,-0.28699353,1
1808,real,real_im_221.png,1.6821897,-0.27895766,0.105290405,-0.40851286,-0.18441121,1
1809,real,real_im_235.png,1.5813167,-0.41150284,0.21926467,-0.3809893,-0.23468708,1
1810,real,real_im_553.png,1.6882417,-0.29984382,0.031517975,-0.4332383,-0.24931945,1
1811,real,real_im_209.png,1.4997871,-0.07459911,0.07949906,-0.3848402,-0.24907483,1
1812,real,real_im_584.png,1.5324492,-0.5139369,0.3150343,-0.41906056,-0.23431306,1
1813,real,real_im_590.png,1.6436552,-0.3250347,0.003261811,-0.48636726,-0.25733602,1
1814,real,real_im_591.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1815,real,real_im_585.png,1.6183805,-0.3649005,-0.011839413,-0.4814553,-0.32064772,1
1816,real,real_im_208.png,1.5958054,-0.6830534,0.12076361,-0.6746857,-0.3770386,1
1817,real,real_im_234.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1818,real,real_im_552.png,1.7419013,-0.2633337,-0.16235605,-0.60152894,-0.3734048,1
1819,real,real_im_546.png,1.641022,-0.34303835,-0.013709509,-0.480988,-0.31099853,1
1820,real,real_im_220.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1821,real,real_im_4.png,1.5813167,-0.41150284,0.21926467,-0.3809893,-0.23468708,1
1822,real,real_im_383.png,1.5744995,-0.62970006,0.15603021,-0.6137103,-0.3487993,1
1823,real,real_im_397.png,1.5283265,-0.55104595,0.24366899,-0.45644686,-0.29642332,1
1824,real,real_im_39.png,1.550628,-0.5760927,0.23133469,-0.5147807,-0.3039304,1
1825,real,real_im_368.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1826,real,real_im_340.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1827,real,real_im_426.png,1.6788462,-0.41167834,-0.076450184,-0.5310857,-0.34375566,1
1828,real,real_im_432.png,1.649895,-0.32571134,-0.0017458284,-0.46894553,-0.29550117,1
1829,real,real_im_11.png,1.552052,-0.49357885,0.29413477,-0.38091278,-0.23419057,1
1830,real,real_im_354.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1831,real,real_im_181.png,1.6156482,-0.34712663,0.12722465,-0.40795946,-0.24466415,1
1832,real,real_im_195.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1833,real,real_im_618.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1834,real,real_im_624.png,1.6875273,-0.20996617,0.19415279,-0.348974,-0.12521467,1
1835,real,real_im_142.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1836,real,real_im_156.png,1.6881876,-0.2990054,0.0004053032,-0.45516446,-0.27814865,1
1837,real,real_im_630.png,1.5673541,-0.50588393,0.24089547,-0.38374284,-0.25387526,1
1838,real,real_im_119.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1839,real,real_im_131.png,1.6477664,-0.27262384,0.040138982,-0.46020904,-0.2366698,1
1840,real,real_im_643.png,1.5669978,-0.43278483,0.28138068,-0.34294903,-0.19120796,1
1841,real,real_im_125.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1842,real,real_im_469.png,1.5771219,-0.41393453,0.23186365,-0.3731761,-0.22434598,1
1843,real,real_im_455.png,1.5425787,-0.52098465,0.29851267,-0.4269422,-0.24823697,1
1844,real,real_im_333.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1845,real,real_im_76.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1846,real,real_im_327.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
1847,real,real_im_62.png,1.6058418,-0.36263672,0.13532837,-0.40437385,-0.24308714,1
1848,real,real_im_441.png,1.534831,-0.5312514,0.2596596,-0.42278475,-0.265042,1
1849,real,real_im_89.png,1.6373658,-0.37921488,0.030628659,-0.47407266,-0.30849648,1
1850,real,real_im_496.png,1.7452744,-0.25130042,-0.14700808,-0.5819467,-0.36239284,1
