,blockorder,blockname,blocknumber,task,trialcount,tablerow,key,status,RT,target_button,batch,timeout,ITI,rate,rate_RT,rate_status,participant,correct,real,experience
107,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,108,110,1,2,1897,2,24440,0,409,6,0,0,2,0,1,3
108,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,109,8,2,1,888,2,344,0,482,6,0,0,2,1,0,3
109,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,110,209,1,1,1126,1,real,0,456,6,0,0,2,1,1,3
110,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,111,198,1,2,6863,1,real,0,462,6,0,0,2,0,1,3
111,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,112,219,2,2,2743,1,real,0,441,6,0,0,2,0,0,3
112,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,113,63,2,1,1354,2,1055,0,450,6,0,0,2,1,0,3
113,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,114,230,2,2,2945,1,real,0,421,6,0,0,2,0,0,3
114,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,115,78,2,1,720,2,7954,0,452,6,0,0,2,1,0,3
115,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,116,123,2,1,672,2,24440,0,477,6,0,0,2,1,0,3
116,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,117,218,2,2,467,1,real,0,561,6,0,0,2,0,0,3
117,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,118,203,1,1,712,1,real,0,461,6,0,0,2,1,1,3
118,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,119,127,2,1,7999,2,24440,0,512,6,0,0,2,1,0,3
119,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,120,100,2,1,547,2,24440,0,538,6,0,0,2,1,0,3
120,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,121,92,2,1,701,2,7954,0,525,6,0,0,2,1,0,3
121,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,122,44,2,1,722,2,1055,0,435,6,0,0,2,1,0,3
122,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,123,144,1,2,1324,2,60000,0,418,6,0,0,2,0,1,3
123,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,124,228,1,1,785,1,real,0,521,6,0,0,2,1,1,3
124,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,125,148,2,1,4618,2,60000,0,418,6,0,0,2,1,0,3
125,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,126,163,1,1,1175,1,real,0,417,6,0,0,2,1,1,3
126,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,127,165,1,1,935,1,real,0,536,6,0,0,2,1,1,3
127,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,128,69,2,1,724,2,7954,0,460,6,0,0,2,1,0,3
128,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,129,39,2,1,619,2,1055,0,521,6,0,0,2,1,0,3
129,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,130,108,2,1,2881,2,24440,0,576,6,0,0,2,1,0,3
130,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,131,85,2,1,804,2,7954,0,588,6,0,0,2,1,0,3
131,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,132,116,2,1,571,2,24440,0,574,6,0,0,2,1,0,3
132,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,133,29,2,1,982,2,344,0,405,6,0,0,2,1,0,3
133,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,134,193,1,1,764,1,real,0,486,6,0,0,2,1,1,3
134,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,135,101,1,2,3788,2,24440,0,542,6,0,0,2,0,1,3
135,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,136,59,2,1,641,2,1055,0,575,6,0,0,2,1,0,3
136,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,137,211,1,1,973,1,real,0,412,6,0,0,2,1,1,3
137,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,138,89,1,2,1150,2,7954,0,410,6,0,0,2,0,1,3
138,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,139,99,2,1,1322,2,24440,0,554,6,0,0,2,1,0,3
139,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,140,208,1,1,646,1,real,0,560,6,0,0,2,1,1,3
140,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,141,239,2,2,1217,1,real,0,505,6,0,0,2,0,0,3
141,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,142,187,1,1,3853,1,real,0,576,6,0,0,2,1,1,3
142,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,143,196,1,1,935,1,real,0,471,6,0,0,2,1,1,3
143,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,144,82,2,1,2148,2,7954,0,450,6,0,0,2,1,0,3
144,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,145,194,1,1,2306,1,real,0,421,6,0,0,2,1,1,3
145,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,146,10,2,1,632,2,344,0,475,6,0,0,2,1,0,3
